as_of_date,tee_date,course_name,avg_price,occ_percent,market_avg,market_min,market_max
2026-05-05,2026-05-06,silver_ridge_golf_club_north,63.76,15.18,57.24,44.04,85.38
2026-05-05,2026-05-06,falcon_crest_golf_club,87.32,6.06,57.24,44.04,85.38
2026-05-05,2026-05-07,pinehurst_links_club,39.02,24.31,65.18,42.86,109.55
2026-05-05,2026-05-07,blue_heron_golf_course,40.2,16.32,65.18,42.86,109.55
2026-05-05,2026-05-07,stonegate_golf_club_central,60.22,36.86,65.18,42.86,109.55
2026-05-05,2026-05-07,silver_ridge_golf_club_north,60.22,11.76,65.18,42.86,109.55
2026-05-05,2026-05-07,lakewood_golf_club,66.11,22.03,65.18,42.86,109.55
2026-05-05,2026-05-07,ironwood_golf_club,73.18,-0.79,65.18,42.86,109.55
2026-05-05,2026-05-07,falcon_crest_golf_club,113.23,9.48,65.18,42.86,109.55
2026-05-05,2026-05-08,pinehurst_links_club,37.84,56.25,64.05,41.68,100.76
2026-05-05,2026-05-08,blue_heron_golf_course,46.09,-0.79,64.05,41.68,100.76
2026-05-05,2026-05-08,lakewood_golf_club,62.58,-0.79,64.05,41.68,100.76
2026-05-05,2026-05-08,stonegate_golf_club_central,62.58,36.86,64.05,41.68,100.76
2026-05-05,2026-05-08,ironwood_golf_club,64.94,18.61,64.05,41.68,100.76
2026-05-05,2026-05-08,silver_ridge_golf_club_north,72.0,31.16,64.05,41.68,100.76
2026-05-05,2026-05-08,falcon_crest_golf_club,103.81,20.89,64.05,41.68,100.76
2026-05-05,2026-05-09,pinehurst_links_club,30.77,-0.79,66.31,34.59,104.06
2026-05-05,2026-05-09,blue_heron_golf_course,46.09,-0.79,66.31,34.59,104.06
2026-05-05,2026-05-09,lakewood_golf_club,63.76,11.76,66.31,34.59,104.06
2026-05-05,2026-05-09,silver_ridge_golf_club_north,69.65,24.31,66.31,34.59,104.06
2026-05-05,2026-05-09,ironwood_golf_club,70.83,7.2,66.31,34.59,104.06
2026-05-05,2026-05-09,stonegate_golf_club_central,73.18,34.58,66.31,34.59,104.06
2026-05-05,2026-05-09,falcon_crest_golf_club,107.34,15.18,66.31,34.59,104.06
2026-05-05,2026-05-10,blue_heron_golf_course,36.66,9.48,58.38,40.5,87.57
2026-05-05,2026-05-10,pinehurst_links_club,41.38,2.63,58.38,40.5,87.57
